rank_id	snv	bi_allelic	singleton	release_adj	bin	min_score	max_score	n	n_ins	n_del	n_ti	n_tv	n_1bp_indel	n_mod3bp_indel	n_clinvar	n_singleton	n_validated_de_novos	n_high_confidence_de_novos	n_de_novo	n_trans_singletons	n_untrans_singletons	n_train_trans_singletons	n_omni	n_mills	n_hapmap	n_kgp_high_conf_snvs	fail_hard_filters	n_vqsr_pos_train	n_vqsr_neg_train	model	n_biallelic	data_type
adj_biallelic_rank	False	True	False	True	1	0.9138583461011481	0.9177322960586101	104	20	84	0	0	71	9	2	0	0	0	0	0	0	0	0	6	0	0	0	19	0	RF	104	exomes
adj_biallelic_rank	False	True	False	True	1	6.06	7.63	134	30	104	0	0	90	19	3	0	0	0	0	1	0	1	0	61	0	0	0	100	0	VQSR	134	exomes
adj_biallelic_rank	False	True	False	True	2	0.9100500719813577	0.9137395193962121	83	16	67	0	0	52	9	1	0	0	0	0	2	0	2	0	1	0	0	0	6	1	RF	83	exomes
adj_biallelic_rank	False	True	False	True	2	5.84	6.06	86	18	68	0	0	59	10	0	0	0	0	0	0	0	0	0	6	0	0	0	13	0	VQSR	86	exomes
adj_biallelic_rank	False	True	False	True	3	0.9070595605400369	0.9098747197598157	76	11	65	0	0	42	10	1	0	0	0	0	3	0	3	0	0	0	0	0	1	0	RF	76	exomes
adj_biallelic_rank	False	True	False	True	3	5.65	5.84	94	25	69	0	0	54	15	0	0	0	0	0	1	0	1	0	1	0	0	0	9	0	VQSR	94	exomes
adj_biallelic_rank	False	True	False	True	4	0.904700660270022	0.9069234381500874	60	8	52	0	0	39	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	RF	60	exomes
adj_biallelic_rank	False	True	False	True	4	5.45	5.65	92	29	63	0	0	54	15	2	0	0	0	0	2	0	2	0	10	0	0	0	13	0	VQSR	92	exomes
adj_biallelic_rank	False	True	False	True	5	0.8994960351046638	0.9046700945944575	58	18	40	0	0	33	9	0	0	0	0	0	3	0	3	0	0	0	0	0	0	2	RF	58	exomes
adj_biallelic_rank	False	True	False	True	5	5.24	5.45	68	9	59	0	0	32	16	0	0	0	0	0	1	0	1	0	4	0	0	0	10	0	VQSR	68	exomes
adj_biallelic_rank	False	True	False	True	6	0.8924441233874404	0.8994960351046638	88	16	72	0	0	53	13	1	0	0	0	0	0	0	0	0	11	0	0	0	22	2	RF	88	exomes
adj_biallelic_rank	False	True	False	True	6	5.01	5.24	85	16	69	0	0	52	12	1	0	0	0	0	1	0	1	0	7	0	0	0	9	0	VQSR	85	exomes
adj_biallelic_rank	False	True	False	True	7	0.8814855054889265	0.8924441233874404	66	15	51	0	0	41	4	0	0	0	0	0	2	0	3	0	1	0	0	0	3	1	RF	66	exomes
adj_biallelic_rank	False	True	False	True	7	4.75	5.01	65	13	52	0	0	34	17	3	0	0	0	0	0	0	0	0	2	0	0	0	8	0	VQSR	65	exomes
adj_biallelic_rank	False	True	False	True	8	0.864285241031906	0.881263692589021	96	21	75	0	0	52	17	2	0	0	0	0	1	0	1	0	2	0	0	0	3	1	RF	96	exomes
